datetime,symbol,open,high,low,close,volume,year_month,month
2025-08-14 02:20:00,CME_MINI:NQ1!,23932.0,23934.5,23930.0,23931.5,69.0,2025-08,
2025-08-14 02:25:00,CME_MINI:NQ1!,23931.5,23933.0,23929.75,23931.0,64.0,2025-08,
2025-08-14 02:30:00,CME_MINI:NQ1!,23931.0,23931.75,23926.25,23928.5,196.0,2025-08,
2025-08-14 02:35:00,CME_MINI:NQ1!,23929.0,23930.0,23924.0,23927.0,170.0,2025-08,
2025-08-14 02:40:00,CME_MINI:NQ1!,23927.75,23935.0,23926.0,23934.0,182.0,2025-08,
2025-08-14 02:45:00,CME_MINI:NQ1!,23933.5,23933.75,23926.25,23929.0,118.0,2025-08,
2025-08-14 02:50:00,CME_MINI:NQ1!,23929.0,23932.25,23928.5,23932.0,57.0,2025-08,
2025-08-14 02:55:00,CME_MINI:NQ1!,23931.25,23940.75,23931.0,23940.0,268.0,2025-08,
2025-08-14 03:00:00,CME_MINI:NQ1!,23939.25,23945.0,23938.75,23945.0,220.0,2025-08,
2025-08-14 03:05:00,CME_MINI:NQ1!,23945.0,23945.25,23937.25,23938.25,205.0,2025-08,
2025-08-14 03:10:00,CME_MINI:NQ1!,23938.25,23939.0,23932.0,23935.25,146.0,2025-08,
2025-08-14 03:15:00,CME_MINI:NQ1!,23935.25,23935.25,23930.75,23931.25,89.0,2025-08,
2025-08-14 03:20:00,CME_MINI:NQ1!,23931.25,23932.75,23929.0,23930.75,116.0,2025-08,
2025-08-14 03:25:00,CME_MINI:NQ1!,23930.75,23935.0,23930.25,23931.25,93.0,2025-08,
2025-08-14 03:30:00,CME_MINI:NQ1!,23931.25,23931.25,23927.0,23929.5,127.0,2025-08,
2025-08-14 03:35:00,CME_MINI:NQ1!,23929.5,23931.0,23928.25,23929.25,56.0,2025-08,
2025-08-14 03:40:00,CME_MINI:NQ1!,23929.0,23934.0,23928.5,23929.25,86.0,2025-08,
2025-08-14 03:45:00,CME_MINI:NQ1!,23929.0,23930.75,23926.5,23926.5,97.0,2025-08,
2025-08-14 03:50:00,CME_MINI:NQ1!,23927.0,23929.5,23924.5,23926.0,110.0,2025-08,
2025-08-14 03:55:00,CME_MINI:NQ1!,23926.25,23928.0,23921.75,23926.0,177.0,2025-08,
2025-08-14 04:00:00,CME_MINI:NQ1!,23926.0,23929.25,23925.0,23927.0,96.0,2025-08,
2025-08-14 04:05:00,CME_MINI:NQ1!,23927.25,23930.0,23927.0,23928.5,77.0,2025-08,
2025-08-14 04:10:00,CME_MINI:NQ1!,23929.25,23932.25,23926.75,23930.25,115.0,2025-08,
2025-08-14 04:15:00,CME_MINI:NQ1!,23930.25,23932.75,23930.25,23931.0,51.0,2025-08,
2025-08-14 04:20:00,CME_MINI:NQ1!,23931.0,23931.0,23922.5,23922.75,181.0,2025-08,
2025-08-14 04:25:00,CME_MINI:NQ1!,23923.0,23924.75,23922.0,23923.25,63.0,2025-08,
2025-08-14 04:30:00,CME_MINI:NQ1!,23923.0,23929.0,23920.25,23928.0,140.0,2025-08,
2025-08-14 04:35:00,CME_MINI:NQ1!,23927.75,23934.0,23927.75,23932.5,127.0,2025-08,
2025-08-14 04:40:00,CME_MINI:NQ1!,23932.5,23934.5,23931.75,23932.5,129.0,2025-08,
2025-08-14 04:45:00,CME_MINI:NQ1!,23932.75,23935.25,23932.0,23933.75,65.0,2025-08,
2025-08-14 04:50:00,CME_MINI:NQ1!,23933.25,23935.75,23932.5,23935.5,82.0,2025-08,
2025-08-14 04:55:00,CME_MINI:NQ1!,23935.0,23935.5,23932.75,23933.25,105.0,2025-08,
